question,answer
What are the three most common elements in the air we breathe?,"nitrogen, oxygen and argon"
What is the term for long carbohydrate molecules of repeated monomer units joined together by glycosidic bonds?,polysaccharides
"During glycolysis, each glucose molecule is broken down into two molecules of what compound?",pyruvate
Independent assortment occurs when what go to opposite poles of the cell in anaphase i?,chromosomes
What is the smallest unit of a living thing?,cell
What is the name of the narrow tube that begins at the stomach and ends at the large intestine?,small intestine
Solar energy travels in what?,photons
What type of properties are characteristics that describe matter?,physical
What changes encoded waves which are being broadcast into sounds?,radio receivers
What is the term for a structure composed of more than one type of tissue?,organ
Bacteria may become untreatable if they develop what in response to multiple antibiotics?,resistance
Red litmus paper turns what color when placed in a basic solution?,blue
What word describes a change in behavior that occurs as a result of experience?,learning
"Potassium is a soft, silvery metal that ignites explosively in what?",water
What adds phosphate groups to receptor proteins at the surface of the cell?,receptor kinases
Flowers pollinated by what means generally lack brightly colored parts?,wind
The chromosomes that have a mixture of maternal and paternal sequence are called what?,recombinant
What are accessory digestive organs critical for breaking down?,food
"Eutrophication, or high levels of nutrients, can cause conditions that deprive fish of what vital gas?",oxygen
Sickle cell diseas is caused by what?,receccisve allele
Chemical changes occur because of what?,chemical reactions
What does the stomach produce to help digest food?,hydrochloric acid
What is it called when a mistake occurs in dna replication.,mutation
Which body part is unsuitable for animals living on land?,gills
Pulmonary ventilation in mammals occurs via what?,inhalation
"There are three basic types of hormones: lipid-derived, amino acid-derived, and what?",peptide
What part of the brain is attached to the brain stem but considered a separate region of the adult brain?,cerebellum
What functional units of chromosomes determine specific characteristics by coding for specific proteins?,genes
What is the metabolic process by which cells obtain energy by “burning” glucose?,cellular respiration
When do homologous chromosomes separate and go to different gametes?,during meiosis
What is sulfur trioxide dissolved in to form sulfuric acid?,water
What is defined as male gametes that form in the testes and mature in the epididymis?,sperm
"Because their embryos are surrounded by a thin membrane, reptiles are considered what?",amniotes
Dialysis is a treatment for failure of what organs?,kidneys
What is the most important way that humans communicate?,language
Green plants known as producers provide basic food supply for what besides themselves?,animals
"Converging plates can be oceanic, continental, or one of each. if at least one is oceanic, it will subduct. a subducting plate creates what?",volcanoes
How does the number of protons compare to the number of electrons in an electrically neutral atom?,they are equal
By what process does oxygen enter the pores of flatworms?,diffusion
What do we call natural resources that are remade by natural processes as quickly as people use them?,renewable
Soils with higher capacities generally have a larger reserve of what?,mineral nutrients
Geysers erupt because what boiling hot substance is trapped beneath their surface?,water
The distance that light can travel in a year is known as what?,light year
"When land used for mining or other purposes is restored to its natural state, what do you call the process, which is often mandated by law?",reclamation
Management programs based on population-regulating factors have helped prevent the extinction of many?,endangered species
What is an organic compound made up of small molecules called amino acids called?,a protein
What are two examples of lipids?,fats and oils
The volume of a regularly shaped solid can be calculated from its what?,dimensions
Where was the distinction between total distance traveled and displacement first noted?,one-dimensional kinematics
Most motions in nature follow ________ rather than straight lines?,curved paths
What is the midpiece of sperm packed with?,mitochondria
What chemical substances are secreted by animals that communicate by odor or taste?,pheromones
The number of electrons in the outer energy level determines what property of nonmetals?,reactivity
What is defined as the rate of energy transferred?,power
"What is the ph level of neutral, pure water?",seven
"The force exerted by a diving board is conservative, provided the internal friction is this?",negligible
What system is designed to facilitate the transformation of food matter into the nutrient components that sustain organisms?,digestive
"In neurons, what often involves gated sodium channels?",depolarization
What makes up most of  biological tissues?,water
"What ""kind"" of water may take longer to become contaminated than surface water, while the natural cleaning process may take longer?",groundwater
What are winds that blow over a limited area called?,local winds
Warm water from the equator mixes with cold water from where?,the poles
Why is blue cheese blue?,fungus
"Yeasts are single-celled fungi. about 1,000 species are recognized, but the most common species is saccharomyces cerevisiae, which is used in this?",bread making
What do fission reactors use to slow down the neutrons?,moderator
What is a structure that consists of two or more types of tissues that work together to do the same job?,organ
"What shapes, supports, and protects the cell?",the cell wall
What are the three types of symbiotic relationships?,"mutualism, communalism, parasitism"
What's the term for a relationship between two organisms where at least one benefits?,symbiosis
What are observable patterns of stars found in the night sky called?,constellations
The zeros at the end of a number are known as what?,trailing zeros
A sperm cell and an egg cell fuse to become what?,fertilized egg
Millipedes and centipedes are the most commonly found examples of what group of arthropods?,subphylum myriapoda
Silicon with an element that gives it extra electrons is which type of semiconductor?,n-type
In what type of process does heat flow into its surroundings and cause an increase in kinetic energy?,exothermic process
What leads to multiple copies of a chromosomal region?,duplications (or amplifications )
What do you call mixtures of ash and water that travel down river valleys?,lahars
What is a controlled scientific study of specific variables called?,experiment
What is secreted before ejaculation to neutralize acidic urine remaining in the urethra?,clear mucus
Atherosclerosis and coronary heart disease are examples of what type of body system disease?,cardiovascular system
Developing cars that run on hydrogen gas can help solve our dependence on what?,nonrenewable fossil fuels
What is the spreading of white light into its full spectrum of wavelengths called?,dispersion
What done ozone help protect against?,ultraviolet rays
The duodenum is a part of which part of the gi tract?,small intestine
What makes up the core of the endoskeleton?,vertebral column
"A rusty bike has been left outside in damp weather too many times, so the iron in the metal parts have?",rusted
What diagram is used to reflect evolutionary relationships among organisms or groups of organisms?,phylogenetic tree
What does a solar power plant turn sunlight into?,electricity
"During adulthood, what is needed for the production of sperm?",testosterone
What type of transport occurs when substances cross the plasma membrane without any input of energy from the cell?,passive transport
"What radiation, generally produced by thermal motion and the vibration and rotation of atoms and molecules, literally means ""below red""?",infrared
Light reactions also release oxygen gas as a what?,waste product
What is another term for the parabolic motion of a thrown object?,projectile motion
"What type of experiment involves two identical experiments carried out side-by-side, with and without an independent variable?",controlled experiment
Latitude plays an important role in determining what in a region?,climate
The number of particles of a substance in a given volume is known as?,concentration
What is the field of biology that focuses on the study of inheritance in humans?,human genetics
"When sparks from a steel grinder react with oxygen, what do they form?",iron oxide
What contains the spore-forming asci?,the ascocarps
What does the human protein cytokine help fight?,infections
What element is an essential part of many molecules needed by living organisms?,nitrogen
"What is the outer layer of an axon that acts like a layer of insulation, similar to the plastic that encases an electrical cord?",myelin sheath
What do monotremes have instead of a uterus and vagina?,cloaca
Which word describes how an extracellular solution can change the volume of a cell by affecting osmosis?,tonicity
What type of bounded nucleus do protists have?,membrane
Many adolescents experience frequent mood swings.  name one of the causes for this.,surging hormones
Alzheimer’s disease is a disease that occurs mainly in what population?,older adults
"Organs of what male biological system include the penis, testes, and epididymis?",reproductive system
Birds and insects perform what function for flowering plants?,pollination
What keeps glaciers from forming in water?,warmth
The number of electron pairs that hold two atoms together is called?,bond order
Which crust lies deep inside the ocean?,oldest
What is transmitted by moving electrons in an electric current?,electrical energy
"What term is not the same as energy, but means the energy per unit charge?",voltage
A pedigree is a chart which shows the inheritance of a trait over several what?,generations
"Red blood cells do not perform aerobic respiration, but they do perform what process that is nearly universal to organisms?",glycolysis
"What is the more common term for ethanoic acid, the active substance in vinegar?",acetic acid
"When the number of electrons and the number of protons are equal, the object is what?",neutral
Which part of the nephron collects wastes in the blood?,tubule
What organs secrete hormones that help maintain homeostasis?,the kidneys
What is a group of organs that work together to do the same job?,an organ system
"Unlike theories, which are proved true, what are often falsified?",hypotheses
What do you call a mixture of two or more substances in which dissolved particles are distributed evenly throughout?,solution
What type of seismic waves do the most damage?,surface
What is formed when atoms of different elements combine in a chemical reaction?,compounds
"In a displacement graph, the slope of the line is the average what?",velocity
What is another term for scale worms?,halkieria
What is the name for a biologist who studies fungi?,mycologists
Latitude affects the amount of which radiation a place receives?,solar
Most of the energy used by living things comes either directly or indirectly from what?,the sun
Making ultrasonic clicks is a clever way that some moths respond to attacks by what flying mammals?,bats
What is the microtubule-organizing center found near the nuclei of animal cells?,centrosome
"Electrons are located at fixed distances from the nucleus, what are they called?",energy levels
What is the smallest aromatic hydrocarbon?,benzene
What are topographic maps that show water depths called?,bathymetric maps
"Graded potentials are temporary changes in what, the characteristics of which depend on the size of the stimuli?",membrane voltage
What type of ionic compound is formed from acid and bases reacting with each other?,salt
"As a cell grows, its volume increases more quickly than its what?",surface area
Name the plant considered to be the ancestor of plants?,green algae
"Remember electrons are negatively charged, so ions with a positive charge have lost what?",electron
What is occurring at an alarming rate as a result of global climate change and the constant melting point of ice?,glacier melt
What is the low level of radiation that occurs naturally in the environment called?,background radiation
Particulates cause lung diseases. they can also increase the risk of heart disease and the number of what?,asthma attacks
Biodiversity hot spots are prime candidates for protection because they are prone to what species fate?,extinction
What can be linked together to form disaccharides or polysaccharides?,monosaccharides
One gram of proteins provides how many calories of energy?,four
What is the fourth planet from the sun?,mars
Diagnosing and treating cancer is a beneficial use of what potentially dangerous energy?,radiation
"When the monocilia are defective, what is disrupted?",signaling
A redox reaction rearranges what subatomic particles?,electrons
"Hundreds of organelles called myofibrils, made up of two types of protein filaments, are contained in each fiber of what?",muscle
All atoms have equal numbers of what two particles?,electrons and protons
"Adult tunicates also develop a sac, called a what?",tunic
The desire to understand how and why things happen is shared by all branches of what?,science
Explosive eruptions associated with what can be tens of thousands of times as powerful as an atomic bomb?,volcanoes
What is the study of energy and how it interacts with matter?,physics
What can be calculated by multiplying an object’s mass in kilograms (kg) by its velocity in meters per second (m/s)?,momentum
What doctors specialize in diseases stemming from glandular issues?,endocrinologists
"When iron and sulfur are mixed together in a certain ratio and heated, what do they become?",iron sulfide
What do fungi use to penetrate deep into decaying matter?,hyphae
What is a suggested explanation for a phenomenon or a suggested explanation for a relationship between many phenomena called?,hypothesis
"Because pathogenic bacteria typically cause disease by releasing exotoxins or endotoxins, they have potential use as what type of weapon?",bioterrorism
The types of white blood cells that arrive at an inflamed site depend on the nature of what?,injury or infection
The mercury or alcohol in a common glass what changes its volume as the temperature changes?,thermometer
"In a model of an atom, the level with the least energy is the one closest to what?",nucleus
What is the name of pluto's moon?,charon
How can we reduce use of energy resources?,conservation
What contains most of the structures found in skin?,dermis
What is influences the inhibition of axillary buds by an apical bud?,apical dominance
What do organisms use to grow and repair themselves?,cell division
Molecular geometry is the three-dimensional arrangement of atoms in a what?,molecule
What are the two types of photoreceptors in the retina?,rods and cones
Saturn is made mostly of helium and what else?,hydrogen
What two tubes extend from the upper corners of the uterus?,fallopian
What kind of weathering changes the size of a mineral or rock but does not change its chemical composition?,mechanical weathering
What body system allows humans to move?,muscular system
Thomson’s plum pudding model shows the structure of what?,atom
What is the rising and sinking of warm and cooler material called?,convection
How many sets of chromosomes do gametes contain?,single
Hydrogen sulfide is a noxious and toxic gas produced from decaying organic matter that contains what?,sulfur
"The body does not exist in isolation. there is a constant input of water and electrolytes into the system. while osmoregulation is achieved across membranes within the body, excess electrolytes and wastes are transported to the kidneys and excreted, helping to maintain this?",osmotic balance
What is made from the minerals in rocks known as bauxite?,aluminum
What is the study of forces in equilibrium?,statics
What organ absorbs about 90 percent of the water you ingest?,small intestine
"The cecum is the first part of what structure, where wastes in a liquid state enter from the small intestine?",large intestine
"The nervous system is characterized by electrical signals that are sent from one area to another. whether those areas are close or very far apart, the signal must travel along this?",axon
What bond is a force of attraction between ions and atoms?,chemical bond
What type of solid has atoms arranged in a repeating pattern?,crystals
The short length of what in women is the best explanation for the greater incidence of uti in women?,urethra
"In angiosperms, flowers and fruits are adaptations essential for what process?",reproduction
The negatively charged electrons are attracted to the positively charged what?,nucleus
"If a solute is a gas, increasing the temperature will do what?",decrease its solubility
What type of energy is required in all chemical reactions?,activation
"What serious sti can damage the heart, brain and other organs or even cause death, if untreated?",syphilis
"In vertebrates, ovipary, ovovivipary, and vivipary are different strategies for what vital process?",reproduction
What change the physical properties of solvents?,solutes
What does interspecific competition between species often lead to?,extinction
When does sublimation occur?,when the ice and snow change directly into water vapors
A mutation is a random change in an organism's what?,genes
The sun’s gravity is relatively strong because the force of gravity between two objects is directly proportional to their what?,masses
"In mammals, what layer protects the egg?",zona pellucida
Polychaetes make up a large and diverse group. which category do the majority of these worms fall into?,marine
Mesophyll consists mainly of parenchyma cells specialized for what?,photosynthesis
Brown algae are important commodities for what?,humans
Why are exotic species also called invasive species?,threaten other species
"What organ packages nutrients absorbed by the digestive system; produces plasma proteins, clotting factors, and bile; and disposes of worn-out cell components and waste products?",liver
What is the most abundant type of biological entity on the earth?,viruses
What is moving air called?,wind
What do stored fats provide our body with for later use?,energy
What happens if a molecule forms strong bonds to the catalyst?,catalyst gets poisoned
What is the storage form of glucose in humans and other vertebrates?,glycogen
If a human only has 45 chromosomes it is most likely due to a mistake during what?,meiosis
"An unknown genotype can be determined by observing what, the term for characteristics of the resulting offspring?",phenotypes
What theory of evolution is charles darwin most known for?,natural selection
What term is used to describe a compound that does not conduct an electric current in either aqueous solution or in the molten state?,nonelectrolyte
What is the leading cause of death in the united states?,heart disease
What is the most important source of energy on earth?,sun
What term is used to describe the sequence of elementary steps that together comprise an entire chemical reaction?,reaction mechanism
Where do two or more bones of the skeleton meet?,joints
In what type of climate might one find deciduous trees?,humid continental
What are the male reproductive cells called?,sperm
"In biology, a relationship that benefits both entities is known as what?",mutualism
"The ostrich, kiwi, rhea, cassowary, and moa are examples of what kind of birds?",flightless
"Unlike prokaryotes, eukaryotes have what?",cell nucleus
"In order to create food, what do photosynthetic protists use?",light energy
"Although it is not vital to humans, calcitonin is important for calcium homeostasis in adults of some species in what group characterized by backbones?",vertebrates
"What causes a small scrap of paper placed on top of the water droplet to float , although the object is denser (heavier) than the water?",surface tension
"Because microorganisms can go through several generations in a matter of hours, their gene expression profiles adapt to the new laboratory environment very quickly. in addition, the vast majority of bacterial species resist being cultured in this?",isolation
What is it called when pollen from one plant fertilizes another plant of the same species?,cross-pollination
"In studying energy, what term do scientists use to refer to the matter and its environment involved in energy transfers?",system
After a massive eruption what will a mountain collapsing above an empty chamber create?,caldera
Lavas that cool underwater are called what?,pillow lavas
What does the cell cycle do?,divide and reproduce cells
How many main types of diabetes are there?,two
What is the production of offspring without gamete fusion called?,asexual reproduction
What term is used to describe molecules that contain carbon-nitrogen bonds?,amines
Foresters commonly inoculate pine seedlings with a type of what to promote growth?,fungi
"The main functions of epithelia are protection from the environment, coverage, secretion and excretion, absorption, and this?",filtration
Which bones are flat and triangular and located at the back of the pectoral girdle?,scapulae
"When it was found that, without the force of gravity exerting pressure on the bones, bone mass was lost in astronauts, what kind of exercise provided an antidote?",resistive
What is the measure for how fast or slow something moves?,speed
What structures are located on roof of the nasopharynx and on each side of the pharynx?,tonsils
How long does it take for earth to rotate on it's axis one time?,24 hours
What are the two types of fats?,saturated and unsaturated
What gas can be generated by reacting sodium bromide with elemental chlorine?,elemental bromine gas
"When light transfers its energy to objects, this is known as what?",absorption
The cochlea is a shell-like structure that is full of fluid and lined with nerve cells called what?,hair cells
What is the name of the body system that fights to protect the body from specific pathogens?,immune system
The number of waves that pass a fixed point in a given amount of time is referred to as what?,wave frequency
Exposure to what causes skin color to darken?,sunlight
"When additional water is added to an aqueous solution, what happens to the concentration of that solution?",decreases
What term describes the splitting of the nucleus of an atom into two smaller nuclei?,nuclear fission
Dividing net force by total mass yields what?,acceleration
What is the largest mammal on earth?,blue whale
Where does the majority of chemical digestion occur?,small intestine
Plant cells have cell walls that are made of what?,cellulose
What are the lipids containing phosphorus?,phospholipids
"What liquid is referred to as the ""universal solvent""?",water
What consists mainly of parenchymal cells with chloroplasts?,mesophyll
"Anabolic steroids, a form of the male sex hormone testosterone, are one of the most widely known performance-enhancing drugs. steroids are used to help build what?",muscle mass
What is precipitation that flows over the surface of the land?,runoff
When fossil fuel is burned the chemical energy is converted into what?,thermal energy
What do you call a species that has died out in the past?,extinct
Aquatic biomes in the ocean are called what?,marine biomes
The peripheral nervous system has major nerves that travel through every part of the body except which two places?,brain and spinal cord
About 50% of all animal species died off between the mesozoic and which other era?,cenozoic
Which law means that the simplest of competing theories is most likely to be correct?,law of parsimony
What physical process occurs when large chunks of food are broken down into smaller pieces?,mechanical digestion
What organ senses sound?,ear
What refers to a substance made from two or more elements joined by chemical bonds?,compound
In what season are temperature inversions more common?,winter
Love canal was an infamous example of what type of pollution?,industrial waste dumping
What effect does taking anabolic steroids have on testosterone production?,reduces it
"Roots, stems and leaves are organs commonly found in what?",plants
What is the addition of nucleotides to the mrna strand?,elongation
What is the force of attraction between two masses?,gravity
"In an environment, symbiosis, competition, and relying on other organisms for food are examples of what?",interaction
What kind of solution might cause animal cells to burst?,hypotonic
Explanations of some aspect of the natural world based on repeated observations are termed what?,scientific theories
"What are small, icy objects that have very elliptical orbits around the sun?",comets
A simple sugar such as fructose or glucose is also called a what?,monosaccharide
What is a measure of the size of sound waves?,amplitude
What does sexual reproduction with gametes and fertilization produce?,diploid sporophyte
"The spinal cord develops, cells making up the wall of the neural tube proliferate and differentiate into what?",neurons and glia
Where do amphibians lay their eggs?,in water
What describes the amount of solute in a solution?,tonicity
What's the process responsible for the presence of oxygen in our atmosphere?,photosynthesis
"The existence of the plasma membrane was identified in the 1890s, and its chemical components were identified in 1915. the principal components identified at that time were these?",lipids and proteins
"According to which process, sublevels and orbitals are filled with electrons in order of increasing energy?",aufbau
What effect is caused by air moving over the earth's surface as it spins?,coriolis effect
Some sea anemones establish what kind of relationship with hermit crabs by attaching to the crab’s shell?,mutualistic
What process determines the dna sequence of an entire genome?,whole-genome sequencing
"Compared to red light, blue light has a shorter what?",wavelength
What is the heart's main task?,pump blood
What occurs when air masses meet?,fronts
Evidence for the presence of what on mars makes scientists think that life might have existed there in the past?,water
What type of diseases do antibiotics not affect?,viruses
What part of the cell is surrounded by a membrane and holds the genetic information for the cell?,nucleus
Which vitamin is made in the skin when it is exposed to sunlight?,vitamin d
Amino acids contain both a carboxylic acid group and what other group?,amine
"The process of photosynthesis uses chlorophyll, which is located in organelles called what?",chloroplasts
What type of plant keeps it green leaves year-round?,evergreen plant
"What is the most diverse and abundant group of organisms on earth, numbering in the millions of trillions?",bacteria
What property is a measure of the average kinetic energy of molecules?,temperature
"The thick skin, found only on the palms of the hands and the soles of the feet, has an extra what?",layer
What are the dark areas that appear on the sun called?,sunspots
Net production efficiency allows ecologists to quantify how efficiently organisms of a particular what incorporate the energy they receive into biomass?,trophic level
Making associations between experiences is often a part of what activity?,learning
What do many cells depend on glucose for?,energy
What is the pressure of gas in a gas mixture termed?,partial pressure
"Under certain conditions, electric current causes what type of field?",magnetic
"In what energy industry process are fluids pumped through a borehole, creating fractures in the rock that contains the natural gas?",fracking
"Bar, circle, and line are examples of what kind of data visualization?",graphs
"What are diodes, transistors, and integrated circuits examples of?",electronic components
What two things determine how much kinetic energy an object has?,its mass and velocity
The sum of the kinetic and potential energies of a system’s atoms and molecules is called what?,internal energy
What are the strongest chemical bonds?,covalent and ionic bonds
Carbonic anhydrase plays what role to achieve a variety of results involving different organs?,enzyme
What guards the opening between the right atrium and the right ventricle?,tricuspid valve
The vegetal pole refers to the concentration of what toward one pole of an egg?,yolk
A rounded hollow carved in the side of a mountain by a glacier is known as?,a cirque
Being dependent on adults for a long maturation period allows young primates ample time for what?,learning
What are seamounts that rise above the water surface called?,islands
Why does a metal spoon heat up quickly when placed in a hot drink?,low specific heat
Cigarettes are a major source of what kind of chemical substances linked with cancer?,carcinogens
"While enzymatic hydrolysis proceeds, peristalsis moves the mixture of chyme and digestive juices along what?",small intestine
Which property can you study by comparing the mass of an object relative to its size?,density
What are the two most common silicates?,feldspar and quartz
What does every star emit that humans cannot see?,radiation
The tendency of an object to resist a change in its motion is called?,inertia
The speed of a particle in what state is directly proportional to the temperature of the system?,gas
What type of cells does meiosis produce?,haploid daughter cells
What is given off from plants and taken in by animals?,oxygen
"In a food chain, what group of organisms breaks down animal remains and wastes to get energy?",decomposers
"Because it damages hair cells, what is the most cause of hearing loss in adults?",exposure to noise
Landslides and mudslides are the most destructive types of what geologic phenomenon?,mass movement
What is the transfer of thermal energy by waves that can travel through empty space called?,radiation
What is the term for the measure of the force of gravity pulling down on an object?,weight
"All living organisms must have what ability, in order to make more organisms like themselves?",reproduction
"Which branch of science is the study of energy, matter, and their interactions?",physics
About how full is the outer energy level in metalloids?,half full
What is the most common bacterial sti in the u. s.?,chlamydia
Most chromosomal disorders involve which chromosomes?,sex chromosomes
Synostoses unite the sacral vertebrae that fuse together to form the what?,adult sacrum
Many adults and some children suffer from a deficiency of lactase. these individuals are said to be lactose intolerant because they cannot digest the lactose found in what?,milk
What is the term for rain consisting of water with a ph below 5?,acid rain
The joints that are between the bones that make up the skull are what kind of joints?,immovable joints
How do the male gorillas show display behaviors?,showing aggression
What type of sedimentary rocks are made of minerals that precipitate from saline water?,chemical sedimentary rocks
A red blood cell will swell and burst when placed in a?,hypotonic solution
What is the most important characteristic of a homogeneous mixture?,uniform composition throughout
The wave on a guitar string is transverse. the sound wave rattles a sheet of paper in a direction that shows the sound wave is what?,longitudinal
"Organic and biochemical equations show the initial and final products of the equation, respectively known as the reactants and what else?",products
Where are the somas of sensory neurons located in the spinal cord?,dorsal root ganglia
Roots grow in length and width from the primary and secondary what?,meristem
"Which law relates the pressure, volume, and temperature of a gas?",combines gas law
What is another name for nearsightedness?,myopia
What happens between particles with opposite charges?,they attract
What is the sac-like organ at the end of the esophagus?,stomach
"Arachidic, stearic, and palmitic fatty acids are examples of what type of fatty acid?",saturated
What do you call the heat below earth’s surface that can be used to produce electricity?,geothermal energy
Some mutations lead to new versions of proteins that help organisms adapt to changes in their environment and are essential for evolution to occur.  what are these mutations known as?,beneficial mutations
Organisms incapable of photosynthesis that must therefore obtain energy and carbon from food by consuming other organisms are called what?,heterotrophs
How do cancer cells typically spread from one part of the body to another?,bloodstream
Most people can survive only a few days without what essential substance?,water
The wavelength of a what type of wave can be measured as the distance between two adjacent compressions?,longitudinal
Yogurt is made with milk fermented with what?,bacteria
What allowed life to expand and diversify during the early cambrian period?,"warm, humid climate"
"""direct"" and ""alternating"" are two kinds of what, which is associated with electricity?",current
"Radiation can be absorbed or shielded by materials, particularly what material used to make protective aprons worn by x-ray administrators?",lead
What is the science of how living things interact with each other and their environment?,ecology
"For a star to form, what force pulls gas and dust into the center of the nebula?",gravity
"What is the process in which cells break down glucose, release the stored energy, and use it to make atp",cellular respiration
"Wine, air, and gunpowder are all examples of what kind of common mixtures?",homogeneous
Activated macrophages and neutrophils discharge what that signals molecules that enhance an immune response?,cytokines
What is the term for a resource that is used in a way that meets the needs of the present without keeping future generations from meeting their needs?,sustainable
What are the only living organisms that can make their own food?,plants
A plant that forms special tissues for storing water in an arid climate is an example of the plant evolving what?,adaptations
The first law of thermodynamics deals with the total amount of energy in what?,universe
Saturated hydrocarbons get their name because they are saturated with what atoms?,hydrogen
What is the process in which the genetic code in mrna is read to make a protein called?,translation
What term is used to describe the attractive force between molecules of the same substance?,cohesion
The egg shell membrane encloses the nucleus containing the genetic material and what?,cytoplasm
What are ring-shaped hydrocarbons called?,cyclic hydrocarbons
In what human organ system would you find live e. coli bacteria?,digestive system
What is it in bone marrow transplants that may cause a graft versus host reaction?,lymphocytes
What is the term for a dynamic equilibrium that is maintained in body tissues and organs?,homeostasis
Water molds mostly live in water or moist?,soil
What is the leading cause of lung cancer?,tobacco smoke
This bodily defense function attacks pathogens and includes inflammatory response and phagocytosis?,second line of defense
"What are substances that the body needs for energy, building materials, and control of body processes?",nutrients
Who first proposed that earth is a magnet?,william gilbert
What force opposes a motion of a moving body? for example a car breaking on a road.,friction
Where does photosynthesis occur in plants?,in chloroplasts
An element is defined by the number of ____ it contains?,protons
What is the process of action potentials in myelinated axons jumping between the nodes of ranvier called?,saltatory conduction
What type of winds blow over a limited area?,local winds
Oils are liquid lipids that plants use to store what?,energy
A binary molecular compound is a molecular compound that is composed of what?,two elements
Amplitude describes what about the wave's crest and trough?,the maximum parts
Skeletal muscles are attached to bones by what?,tendons
What forms when a solute dissolves in a solvent?,solution
"Although they look like big rocks, what structures that serve as habitats for many different types of ocean life are actually alive?",coral reefs
"Snow and ice may also undergo which process where there is intense sunlight, very cold temperatures, and dry winds?",sublimation
What do we call the predictable distribution of molecular speeds found in gas of many molecules?,maxwell-boltzmann distribution
The atomic number is the same as the number of what in an atom?,protons
The fuel rods are made of a corrosion-resistant alloy that encases the partially enriched uranium fuel; controlled fission of 235u in the fuel produces heat. water surrounds the fuel rods and moderates this?,kinetic energy
Banging on a drum is an example of which type of energy?,mechanical
What is the type of cell division that produces gametes called?,meiosis
Tests for levels of what in blood allow a diabetic patient to regulate how much insulin to administer?,glucose
Researchers have identified the receptor proteins for all of the tastes except which?,salty
What kind of change occurs whenever matter changes into an entirely different substance with different chemical properties?,chemical change
Water moving up the plane and evaporating from the leaves is a process known as what?,transpiration
"Are the lungs organs of the excretory system, the respiratory system, or both?",both
The strong affinity of concentrated sulfuric acid for water makes it a good agent of what?,dehydrating
What are double sugars called?,disaccharides
"Whan an alkene is aquired by an alkyl halide in an organic reaction, what kind of reaction is this?",elimination
Transport of water and solutes in plants water potential is a measure of the difference in potential energy between a water sample and this?,pure water
What always has the same elements in the same ratio?,compound
Atomic emission spectra are produced when excited electrons return to what state?,ground state
What kind of variation does a rate measure?,property to time
"Humans and other animals can suffer from diets lacking in what essential ""ingredients""?",nutrients
"Of the four nerve plexuses, two are found at the cervical level, one at the lumbar level, and one at which level ?",sacral
"Isotopes have the same number of protons and electrons, but a different number of what?",neutrons
What part of the brain is largest in intelligent mammals?,cerebrum
What type of energy occurs by splitting the nuclei of radioactive uranium?,nuclear
Who created the idea of an evolutionary tree to represent the relationships between different species and their common ancestors?,charles darwin
"Archaeans help break down sewage in waste treatment plants, so they fulfill what important role?",decomposer
Increasing or decreasing the temperature of a system in what state acts as a stress to the system?,equilibrium
What biochemicals mediate changes in target cells by binding to specific receptors?,hormones
Sexual reproduction involves haploid gametes and produces a diploid zygote through what process?,fertilization
Some atoms are more stable when they gain or lose an electron and form what?,ions
"When light strikes the rods and cones, they hyperpolarize, shutting off their release of what?",glutamate
Vertebrates. from the smallest of fish to us. one of the main features we all have in common is our what?,backbone
What senses the movement of liquid in ear canals?,hair cells
Alkanes are nonpolar and therefore do not attract what?,ions
"At high pressures, how are the molecules of a gas crowded?",closer together
Seawalls and breakwaters are built parallel to what?,shore
The polymerase chain reaction is a way of making copies of what?,a gene
What part of the muscle fibers cause shortening and contraction?,myofibrils
"Organisms are highly organized, coordinated structures that consist of one or more what?",cells
"After what state is reached, the concentrations of all reaction components remain constant unless a change is made to the system?",equilibrium
What type of analysis is performed to study gene expression patterns in cells?,rna analysis
Where can composite volcanoes most frequently be found?,convergent boundaries
The solution with the higher solute concentration is called what?,hypertonic
What is the term for the process in which two atomic nuclei fuse together to make a single nucleus?,fusion
What occurs when some substances change chemically to other substances?,chemical reaction
"When a fluorine atom gains an electron, it becomes a negative what?",fluoride ion
The phase transition of a substance changing from a liquid state to a gaseous state is an example of what?,entropoy
What type of cell transmits electrical impulses in the nervous system?,nerve cell
What do you call a growing mass of cancerous cells that pushes into nearby tissues?,tumor
Dragonflies were one of the first insects to do what?,fly
"In preparation for phagocytosis, a portion of the inward-facing surface of the plasma membrane becomes coated with a protein called clathrin, which stabilizes this section of what?",membrane
What is the rate at which energy is being transferred called?,power
In which process do signaling molecules from embryonic cells cause transcriptional changes in nearby target cells?,induction
Burning fossil fuels produces air pollution and what?,carbon dioxide
What is another name for molecular compounds?,covalent compounds
Deposition also occurs when a stream or river empties into a large body of what?,still water
The cell wall of plants is made up of a complex carbohydrate that is a polymer of what sugar?,glucose
What is necessary for new alleles to be created?,new mutations
"What bodily substance is formed from cells, and in turn helps make up organs?",tissues
What causes light to refract?,slowing down
"Iron is oxidized to fe2+(aq) at an anodic site on the surface of the iron, which is often an impurity or this?",lattice defect
What type of tissue is made up of cells that have the unique ability to contract?,muscle tissue
Oxygen reaches what veinless part of the eye by diffusing through its tear layer?,cornea
"In order to survive and maintain what state, an organism must quickly adapt to changing environmental conditions?",homeostasis
What gland secretes its products directly into the urethra through several small ducts,prostate
What receives blood in the heart?,the atria
All of the stages that a cell goes through make up what?,the cell cycle
What is the biogeochemical cycle that recycles water called?,water cycle
